venue,over,mean_runs,std_runs
Arun Jaitley Stadium,6,46.285714285714285,9.957050624700928
Arun Jaitley Stadium,10,74.0,14.512594000225619
Arun Jaitley Stadium,15,114.64285714285714,24.09790014106605
Arun Jaitley Stadium,20,168.28571428571428,27.813744724585284
"Arun Jaitley Stadium, Delhi",6,59.391304347826086,20.70515774661601
"Arun Jaitley Stadium, Delhi",10,93.1304347826087,24.262399543749858
"Arun Jaitley Stadium, Delhi",15,139.52173913043478,28.705193646664192
"Arun Jaitley Stadium, Delhi",20,200.34782608695653,36.003293656972524
Barabati Stadium,6,42.714285714285715,8.138678961483567
Barabati Stadium,10,74.0,14.605934866804429
Barabati Stadium,15,116.57142857142857,18.69810278127296
Barabati Stadium,20,167.71428571428572,34.54327858264318
"Barsapara Cricket Stadium, Guwahati",6,60.4,15.436968614336172
"Barsapara Cricket Stadium, Guwahati",10,85.6,18.555322686496183
"Barsapara Cricket Stadium, Guwahati",15,128.0,21.319005605327845
"Barsapara Cricket Stadium, Guwahati",20,174.6,25.715753926338618
"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",6,48.77272727272727,12.96857674087572
"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",10,82.86363636363636,18.21641189525704
"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",15,122.04545454545455,27.884928977303563
"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",20,175.36363636363637,33.58506677016899
Brabourne Stadium,6,51.8,9.624043964063247
Brabourne Stadium,10,81.4,14.064928802600537
Brabourne Stadium,15,122.3,18.944656238633623
Brabourne Stadium,20,180.4,20.337158110217853
"Brabourne Stadium, Mumbai",6,56.35294117647059,14.374200745044
"Brabourne Stadium, Mumbai",10,88.6470588235294,15.272283622917156
"Brabourne Stadium, Mumbai",15,130.47058823529412,25.149845046885538
"Brabourne Stadium, Mumbai",20,177.41176470588235,38.0855268171674
Buffalo Park,6,41.0,11.532562594670797
Buffalo Park,10,62.666666666666664,20.55075018906447
Buffalo Park,15,97.33333333333333,29.143323992525858
Buffalo Park,20,147.33333333333334,31.005375877955963
De Beers Diamond Oval,6,42.666666666666664,9.018499505645789
De Beers Diamond Oval,10,70.0,8.18535277187245
De Beers Diamond Oval,15,102.33333333333333,4.93288286231625
De Beers Diamond Oval,20,158.0,15.620499351813308
Dr DY Patil Sports Academy,6,41.588235294117645,9.918787876609544
Dr DY Patil Sports Academy,10,65.0,14.20827223838282
Dr DY Patil Sports Academy,15,98.76470588235294,14.859884806773847
Dr DY Patil Sports Academy,20,146.64705882352942,28.87243749770399
"Dr DY Patil Sports Academy, Mumbai",6,45.95,7.789838184928391
"Dr DY Patil Sports Academy, Mumbai",10,75.2,10.87052993430548
"Dr DY Patil Sports Academy, Mumbai",15,120.2,15.632624455555156
"Dr DY Patil Sports Academy, Mumbai",20,170.7,25.064338264386297
Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,6,41.0,9.530652303663864
Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,10,68.61538461538461,13.17534605199209
Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,15,106.6923076923077,21.029283611924807
Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,20,157.46153846153845,27.31182706147462
"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",6,68.0,13.564659966250534
"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",10,113.0,17.204650534085253
"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",15,159.75,28.28869031963127
"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",20,208.75,46.219584593546486
Dubai International Cricket Stadium,6,45.80434782608695,11.408806667010245
Dubai International Cricket Stadium,10,74.43478260869566,14.229315863796504
Dubai International Cricket Stadium,15,113.04347826086956,19.625331161241736
Dubai International Cricket Stadium,20,163.7608695652174,25.175106560611916
Eden Gardens,6,45.64935064935065,10.09659431085843
Eden Gardens,10,73.71428571428571,12.961336374058952
Eden Gardens,15,114.44155844155844,19.27262409856442
Eden Gardens,20,160.1818181818182,29.42865023315638
"Eden Gardens, Kolkata",6,56.608695652173914,9.451979736997778
"Eden Gardens, Kolkata",10,89.82608695652173,14.173124932622697
"Eden Gardens, Kolkata",15,138.0,20.92410528118662
"Eden Gardens, Kolkata",20,196.7826086956522,29.40154065496187
Feroz Shah Kotla,6,46.46666666666667,10.822867608764145
Feroz Shah Kotla,10,74.85,15.931872968084651
Feroz Shah Kotla,15,114.56666666666666,23.827321354651954
Feroz Shah Kotla,20,161.63333333333333,34.045317090889455
Green Park,6,51.0,7.164728420068224
Green Park,10,80.75,21.853680086734443
Green Park,15,119.25,24.45914961727002
Green Park,20,161.25,29.970819141291415
Himachal Pradesh Cricket Association Stadium,6,39.55555555555556,12.94325221023595
Himachal Pradesh Cricket Association Stadium,10,73.66666666666667,17.19738352191984
Himachal Pradesh Cricket Association Stadium,15,118.88888888888889,31.070260879353928
Himachal Pradesh Cricket Association Stadium,20,175.66666666666666,32.30711995830021
"Himachal Pradesh Cricket Association Stadium, Dharamsala",6,60.0,7.456540752922899
"Himachal Pradesh Cricket Association Stadium, Dharamsala",10,98.5,19.002631396730298
"Himachal Pradesh Cricket Association Stadium, Dharamsala",15,138.16666666666666,22.103544210525758
"Himachal Pradesh Cricket Association Stadium, Dharamsala",20,194.33333333333334,45.3769398116121
Holkar Cricket Stadium,6,44.22222222222222,12.517765153750268
Holkar Cricket Stadium,10,76.33333333333333,17.937391114652097
Holkar Cricket Stadium,15,113.77777777777777,30.301723456669002
Holkar Cricket Stadium,20,160.33333333333334,48.163783074006965
JSCA International Stadium Complex,6,39.57142857142857,11.984116472191332
JSCA International Stadium Complex,10,68.14285714285714,16.221678616680123
JSCA International Stadium Complex,15,107.14285714285714,15.0158646263274
JSCA International Stadium Complex,20,149.0,22.788886180182942
Kingsmead,6,49.13333333333333,9.203001580747344
Kingsmead,10,72.6,12.687451618486218
Kingsmead,15,109.26666666666667,16.947257117584655
Kingsmead,20,152.0,29.024620091029128
M Chinnaswamy Stadium,6,44.261538461538464,12.919555094745093
M Chinnaswamy Stadium,10,74.41538461538461,19.376929184351802
M Chinnaswamy Stadium,15,117.3076923076923,25.186754379114554
M Chinnaswamy Stadium,20,168.06153846153848,35.886050964771165
"M Chinnaswamy Stadium, Bengaluru",6,52.473684210526315,14.720991893863038
"M Chinnaswamy Stadium, Bengaluru",10,85.52631578947368,18.72125476876374
"M Chinnaswamy Stadium, Bengaluru",15,134.42105263157896,25.673842697002122
"M Chinnaswamy Stadium, Bengaluru",20,189.05263157894737,37.911407963846045
M.Chinnaswamy Stadium,6,48.53333333333333,9.956094089742699
M.Chinnaswamy Stadium,10,74.73333333333333,9.669293567538329
M.Chinnaswamy Stadium,15,120.73333333333333,21.021983957843023
M.Chinnaswamy Stadium,20,173.93333333333334,38.4512059381138
MA Chidambaram Stadium,6,40.77777777777778,13.745706400343506
MA Chidambaram Stadium,10,65.44444444444444,18.358316311083044
MA Chidambaram Stadium,15,100.33333333333333,21.33072900770154
MA Chidambaram Stadium,20,150.55555555555554,40.991191465701235
"MA Chidambaram Stadium, Chepauk",6,46.5,10.847099818296368
"MA Chidambaram Stadium, Chepauk",10,75.79166666666667,14.770526047379358
"MA Chidambaram Stadium, Chepauk",15,117.08333333333333,24.08834213785487
"MA Chidambaram Stadium, Chepauk",20,166.02083333333334,29.29271900190938
"MA Chidambaram Stadium, Chepauk, Chennai",6,49.411764705882355,11.171168645788853
"MA Chidambaram Stadium, Chepauk, Chennai",10,79.08823529411765,14.722416729844369
"MA Chidambaram Stadium, Chepauk, Chennai",15,118.11764705882354,22.0285829554053
"MA Chidambaram Stadium, Chepauk, Chennai",20,164.35294117647058,29.77377568196669
"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur",6,53.4,10.511369505867867
"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur",10,77.4,11.871534582072082
"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur",15,120.5,23.26298920316705
"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur",20,163.0,38.735570790223875
"Maharaja Yadavindra Singh International Cricket Stadium, New Chandigarh",6,79.0,
"Maharaja Yadavindra Singh International Cricket Stadium, New Chandigarh",10,113.0,
"Maharaja Yadavindra Singh International Cricket Stadium, New Chandigarh",15,160.0,
"Maharaja Yadavindra Singh International Cricket Stadium, New Chandigarh",20,228.0,
Maharashtra Cricket Association Stadium,6,45.77272727272727,12.019554774187643
Maharashtra Cricket Association Stadium,10,75.68181818181819,15.400638093262687
Maharashtra Cricket Association Stadium,15,115.72727272727273,20.4244993368301
Maharashtra Cricket Association Stadium,20,166.4090909090909,30.95258907688936
"Maharashtra Cricket Association Stadium, Pune",6,48.07692307692308,10.98833880728064
"Maharashtra Cricket Association Stadium, Pune",10,74.3076923076923,13.683229488347013
"Maharashtra Cricket Association Stadium, Pune",15,117.0,20.932430978428346
"Maharashtra Cricket Association Stadium, Pune",20,171.46153846153845,21.52368998961913
"Narendra Modi Stadium, Ahmedabad",6,52.93939393939394,13.17654021817609
"Narendra Modi Stadium, Ahmedabad",10,87.15151515151516,17.17032544122492
"Narendra Modi Stadium, Ahmedabad",15,131.84848484848484,27.43984467444332
"Narendra Modi Stadium, Ahmedabad",20,186.63636363636363,36.513540452325856
Nehru Stadium,6,38.4,14.943225890014512
Nehru Stadium,10,61.2,18.886503117305754
Nehru Stadium,15,103.0,13.71130920080209
Nehru Stadium,20,146.8,15.466091943344964
New Wanderers Stadium,6,38.125,9.93460762040598
New Wanderers Stadium,10,60.75,10.222524150130438
New Wanderers Stadium,15,96.625,16.308958975273157
New Wanderers Stadium,20,144.0,13.564659966250538
Newlands,6,44.42857142857143,17.115851744870337
Newlands,10,67.42857142857143,21.313979316066586
Newlands,15,100.57142857142857,22.648452065260024
Newlands,20,139.42857142857142,30.347197250362033
OUTsurance Oval,6,36.5,2.1213203435596424
OUTsurance Oval,10,56.0,5.656854249492381
OUTsurance Oval,15,96.0,1.4142135623730951
OUTsurance Oval,20,135.0,21.213203435596427
Punjab Cricket Association IS Bindra Stadium,6,49.4,13.753383422109469
Punjab Cricket Association IS Bindra Stadium,10,82.9,16.168900189355284
Punjab Cricket Association IS Bindra Stadium,15,127.9,16.182638158773052
Punjab Cricket Association IS Bindra Stadium,20,175.6,13.882042757141726
"Punjab Cricket Association IS Bindra Stadium, Mohali",6,45.36363636363637,9.394389041047077
"Punjab Cricket Association IS Bindra Stadium, Mohali",10,73.63636363636364,17.738504600291012
"Punjab Cricket Association IS Bindra Stadium, Mohali",15,115.9090909090909,24.28355223378386
"Punjab Cricket Association IS Bindra Stadium, Mohali",20,164.0909090909091,37.391053864405976
"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",6,58.2,9.497368056467014
"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",10,94.4,21.314314438892936
"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",15,140.2,30.621887596946078
"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",20,197.8,39.958728708506236
"Punjab Cricket Association Stadium, Mohali",6,47.51428571428571,10.42725904024816
"Punjab Cricket Association Stadium, Mohali",10,77.65714285714286,12.881685259547776
"Punjab Cricket Association Stadium, Mohali",15,116.14285714285714,18.506187927194482
"Punjab Cricket Association Stadium, Mohali",20,163.28571428571428,29.711922174907006
Rajiv Gandhi International Stadium,6,48.2,13.826475638116483
Rajiv Gandhi International Stadium,10,77.33333333333333,16.956527047830562
Rajiv Gandhi International Stadium,15,117.13333333333334,23.691067233593902
Rajiv Gandhi International Stadium,20,162.6,31.17416512801219
"Rajiv Gandhi International Stadium, Uppal",6,42.10204081632653,13.0930084681978
"Rajiv Gandhi International Stadium, Uppal",10,68.73469387755102,18.48059287266429
"Rajiv Gandhi International Stadium, Uppal",15,108.08163265306122,22.084908813008756
"Rajiv Gandhi International Stadium, Uppal",20,156.14285714285714,30.829504266746383
"Rajiv Gandhi International Stadium, Uppal, Hyderabad",6,54.578947368421055,20.73460818554783
"Rajiv Gandhi International Stadium, Uppal, Hyderabad",10,88.63157894736842,27.435197438318752
"Rajiv Gandhi International Stadium, Uppal, Hyderabad",15,134.10526315789474,35.36774226583393
"Rajiv Gandhi International Stadium, Uppal, Hyderabad",20,189.3684210526316,43.363080208239346
"Sardar Patel Stadium, Motera",6,47.583333333333336,7.78644899031567
"Sardar Patel Stadium, Motera",10,76.0,14.64737022627115
"Sardar Patel Stadium, Motera",15,113.16666666666667,17.908014119297807
"Sardar Patel Stadium, Motera",20,163.16666666666666,22.18038991924391
Saurashtra Cricket Association Stadium,6,51.0,7.986099033807293
Saurashtra Cricket Association Stadium,10,81.3,9.922477289243622
Saurashtra Cricket Association Stadium,15,118.8,16.943041836301607
Saurashtra Cricket Association Stadium,20,168.9,22.83004842550955
Sawai Mansingh Stadium,6,44.0,10.24482902439716
Sawai Mansingh Stadium,10,73.17021276595744,12.818667008187315
Sawai Mansingh Stadium,15,110.80851063829788,16.963693068320605
Sawai Mansingh Stadium,20,157.68085106382978,23.73779446824127
"Sawai Mansingh Stadium, Jaipur",6,50.11764705882353,8.985282083365389
"Sawai Mansingh Stadium, Jaipur",10,84.52941176470588,13.010177011953102
"Sawai Mansingh Stadium, Jaipur",15,130.41176470588235,16.11311121233812
"Sawai Mansingh Stadium, Jaipur",20,187.23529411764707,25.351354529306477
Shaheed Veer Narayan Singh International Stadium,6,36.666666666666664,10.708252269472673
Shaheed Veer Narayan Singh International Stadium,10,61.5,11.309288218097548
Shaheed Veer Narayan Singh International Stadium,15,96.5,12.128478882366082
Shaheed Veer Narayan Singh International Stadium,20,146.33333333333334,18.162231874598085
Sharjah Cricket Stadium,6,44.0,10.022197585581939
Sharjah Cricket Stadium,10,74.21428571428571,17.446971811659044
Sharjah Cricket Stadium,15,110.92857142857143,27.388735953724794
Sharjah Cricket Stadium,20,159.03571428571428,35.54702898754367
Sheikh Zayed Stadium,6,43.93103448275862,12.643267645224018
Sheikh Zayed Stadium,10,72.44827586206897,16.573615449383375
Sheikh Zayed Stadium,15,109.62068965517241,21.463280592516686
Sheikh Zayed Stadium,20,158.86206896551724,31.421926077560002
St George's Park,6,48.0,13.316656236958787
St George's Park,10,76.85714285714286,22.8796020611415
St George's Park,15,111.42857142857143,22.404293806152
St George's Park,20,159.0,17.281975195754296
Subrata Roy Sahara Stadium,6,39.375,10.947602477255009
Subrata Roy Sahara Stadium,10,64.375,12.919623317522328
Subrata Roy Sahara Stadium,15,102.125,15.628499608087784
Subrata Roy Sahara Stadium,20,149.4375,25.216314163652072
SuperSport Park,6,41.416666666666664,9.33671475542883
SuperSport Park,10,69.58333333333333,10.991387813220225
SuperSport Park,15,107.83333333333333,17.113701758497136
SuperSport Park,20,154.83333333333334,24.884582058825583
"Vidarbha Cricket Association Stadium, Jamtha",6,46.0,10.14889156509222
"Vidarbha Cricket Association Stadium, Jamtha",10,75.66666666666667,5.6862407030773285
"Vidarbha Cricket Association Stadium, Jamtha",15,116.33333333333333,10.115993936995677
"Vidarbha Cricket Association Stadium, Jamtha",20,149.33333333333334,10.598742063723096
Wankhede Stadium,6,44.534246575342465,11.645316406870785
Wankhede Stadium,10,72.72602739726027,16.76989719869488
Wankhede Stadium,15,115.52054794520548,22.77676056681038
Wankhede Stadium,20,166.02739726027397,30.49725516006852
"Wankhede Stadium, Mumbai",6,47.40384615384615,11.801062789268572
"Wankhede Stadium, Mumbai",10,79.07692307692308,14.667352239564472
"Wankhede Stadium, Mumbai",15,122.25,22.837769713573085
"Wankhede Stadium, Mumbai",20,176.82692307692307,32.307785229342784
"Zayed Cricket Stadium, Abu Dhabi",6,49.75,15.030920511684286
"Zayed Cricket Stadium, Abu Dhabi",10,76.25,23.885141824992374
"Zayed Cricket Stadium, Abu Dhabi",15,113.5,28.78987917406294
"Zayed Cricket Stadium, Abu Dhabi",20,159.0,41.83300132670378
